province,area_type,name,region,geocode,latitude,longitude,forecast_time,cloud_high,cloud_low,cloud_medium,condition,rain,relative_humidity,sea_level_pressure,temperature,temperature_max,temperature_min,wind_direction,wind_speed
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-26 00:00:00+07:00,21.04,78.25,30.13,4,5.1,80.08,1011.28,28.55,31.42,26.15,243.42,9.58
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-27 00:00:00+07:00,51.54,76.75,68.83,3,5.3,80.34,1011.23,28.18,30.66,25.69,271.5,10.0
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-28 00:00:00+07:00,69.75,78.13,62.13,4,33.7,88.39,1011.31,27.0,30.05,25.6,229.18,5.15
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-29 00:00:00+07:00,69.88,77.13,74.25,5,17.1,76.96,1010.78,28.14,32.04,26.54,237.56,8.06
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-30 00:00:00+07:00,52.88,58.75,56.25,5,4.1,77.09,1010.12,28.26,31.34,24.87,273.13,7.76
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-31 00:00:00+07:00,43.13,68.75,38.88,3,2.3,76.2,1010.44,28.26,30.89,25.81,257.19,10.28
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-01 00:00:00+07:00,33.0,80.88,16.0,4,0.1,78.07,1011.22,28.26,30.7,26.05,232.64,7.45
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-26 00:00:00+07:00,29.67,68.46,50.33,4,0.5,73.5,1010.2,27.75,31.44,24.07,271.96,12.5
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-27 00:00:00+07:00,48.54,60.88,76.04,3,0.1,72.67,1009.83,28.2,35.79,24.02,258.95,14.2
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-28 00:00:00+07:00,65.13,71.38,66.38,5,14.8,82.58,1010.05,27.96,36.47,25.64,260.85,10.67
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-29 00:00:00+07:00,66.88,86.38,54.63,5,15.7,83.43,1009.57,27.42,31.77,24.85,232.45,12.49
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-30 00:00:00+07:00,52.25,84.63,34.13,4,0.3,71.84,1008.77,28.52,35.21,24.85,251.42,10.91
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-31 00:00:00+07:00,70.25,89.25,69.13,5,38.2,78.94,1009.5,27.98,31.47,25.17,255.65,9.32
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-01 00:00:00+07:00,35.13,70.88,11.63,3,1.7,79.35,1010.55,27.77,32.45,25.22,256.58,9.11
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-26 00:00:00+07:00,30.21,88.46,19.42,4,0.9,83.15,1011.31,27.59,31.82,24.33,256.11,9.87
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-27 00:00:00+07:00,12.29,65.67,52.46,4,0.3,78.44,1011.26,28.19,31.69,24.79,263.84,9.08
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-28 00:00:00+07:00,49.88,82.88,64.13,5,24.3,90.55,1011.42,26.87,29.6,24.5,254.59,7.91
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-29 00:00:00+07:00,63.5,81.63,70.13,4,18.8,84.11,1010.78,26.72,30.51,24.9,241.38,7.88
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-30 00:00:00+07:00,52.75,87.25,48.75,4,10.2,81.95,1010.08,27.52,32.18,23.88,269.99,9.33
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-31 00:00:00+07:00,45.88,94.5,30.38,5,10.4,86.57,1010.66,27.01,30.81,23.21,255.98,7.14
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-01 00:00:00+07:00,41.63,69.75,12.13,4,19.1,85.48,1011.34,26.82,29.98,24.64,253.97,8.35
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-26 00:00:00+07:00,32.0,14.08,32.29,1,0.1,65.34,1010.09,29.51,32.84,27.21,262.49,16.89
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-27 00:00:00+07:00,18.54,8.88,69.33,1,1.2,64.28,1009.78,29.39,32.83,25.71,243.03,15.4
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-28 00:00:00+07:00,48.63,29.13,85.88,1,2.9,76.52,1010.5,28.19,32.47,26.49,234.12,9.36
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-29 00:00:00+07:00,69.75,16.88,65.5,1,11.4,71.55,1009.63,28.2,30.83,26.75,271.7,12.84
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-30 00:00:00+07:00,51.75,34.38,52.13,1,0.0,70.05,1009.28,28.47,34.3,26.17,281.58,20.23
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-31 00:00:00+07:00,43.75,35.88,25.38,1,5.2,70.57,1009.86,28.78,31.93,26.7,248.72,11.57
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-01 00:00:00+07:00,46.5,34.63,37.88,1,2.2,74.48,1010.74,28.93,33.27,26.41,261.48,12.18
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-08-26 00:00:00+07:00,46.58,38.71,39.71,2,3.8,77.65,1011.0,28.14,33.64,24.92,164.98,9.66
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-08-27 00:00:00+07:00,31.38,57.46,21.79,3,6.0,82.29,1011.07,27.51,31.38,24.36,141.97,6.14
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-08-28 00:00:00+07:00,30.5,50.5,33.88,1,19.2,83.51,1011.13,26.27,30.37,23.13,64.1,6.08
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-08-29 00:00:00+07:00,60.0,66.5,64.38,5,29.6,92.44,1010.72,26.22,30.51,23.53,38.53,4.84
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-08-30 00:00:00+07:00,65.63,46.88,63.5,2,14.0,87.81,1010.22,26.77,32.55,22.9,328.79,9.35
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-08-31 00:00:00+07:00,57.0,53.75,43.75,1,13.7,89.51,1010.73,26.37,30.74,23.12,76.12,4.99
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-01 00:00:00+07:00,57.88,58.88,36.75,3,47.1,91.57,1011.11,26.82,30.54,24.13,63.02,6.66
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-08-26 00:00:00+07:00,42.46,50.33,19.58,3,1.3,77.8,1010.96,28.5,33.14,25.52,274.83,8.85
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-08-27 00:00:00+07:00,8.67,61.04,21.17,3,0.0,73.1,1010.86,29.4,34.36,25.88,222.31,9.25
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-08-28 00:00:00+07:00,16.13,55.38,30.38,4,15.4,82.94,1010.93,28.48,31.74,25.63,170.27,4.91
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-08-29 00:00:00+07:00,48.63,52.0,54.5,2,6.1,87.2,1010.57,27.68,29.03,26.03,180.27,9.41
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-08-30 00:00:00+07:00,66.0,54.25,69.88,2,3.6,87.05,1010.11,27.62,30.85,26.02,303.07,13.81
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-08-31 00:00:00+07:00,48.13,60.13,47.63,5,4.7,88.32,1010.46,27.63,29.71,25.57,326.89,5.34
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-01 00:00:00+07:00,49.88,50.13,31.25,2,4.6,89.58,1011.15,27.62,29.67,24.73,18.03,6.23
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-08-26 00:00:00+07:00,28.17,80.58,38.54,3,4.1,80.81,1011.4,27.9,32.92,25.3,251.01,11.66
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-08-27 00:00:00+07:00,48.38,87.25,73.33,4,2.3,82.31,1011.31,27.19,32.02,23.02,238.75,12.79
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-08-28 00:00:00+07:00,75.38,88.88,81.25,4,17.7,82.27,1011.46,26.67,29.96,23.84,268.52,12.81
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-08-29 00:00:00+07:00,71.13,69.25,63.5,3,1.6,81.5,1010.94,27.37,29.14,25.85,264.85,7.6
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-08-30 00:00:00+07:00,40.75,68.63,30.38,5,14.0,84.29,1010.22,27.28,30.4,25.67,249.23,11.44
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-08-31 00:00:00+07:00,55.5,84.5,41.13,5,9.5,82.18,1010.68,27.55,29.84,25.84,266.88,7.37
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-01 00:00:00+07:00,38.13,85.25,23.88,4,3.4,85.91,1011.43,27.59,31.07,25.33,251.63,8.13
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-08-26 00:00:00+07:00,30.79,54.92,38.83,3,0.1,75.04,1010.79,28.61,33.24,23.8,265.04,11.47
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-08-27 00:00:00+07:00,11.96,41.13,47.71,1,0.0,66.67,1010.66,29.45,33.71,26.6,273.39,12.24
